Q1,Q2,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q6,Q7
Which department are you in (primary appointment)?,What type of you position do you hold at USC Marshall?,"How important is obtaining a
preferable teaching times to you?","Rank the following patterns in
teaching schedule in order of importance to you. (1 being the most important,
and 4 being the least important.) - Never have to teach in the mornings before 10am.","Rank the following patterns in
teaching schedule in order of importance to you. (1 being the most important,
and 4 being the least important.) - Never have to teach in the evenings after 6pm.","Rank the following patterns in
teaching schedule in order of importance to you. (1 being the most important,
and 4 being the least important.) - Schedule all teaching during either M/W only or T/H only.","Rank the following patterns in
teaching schedule in order of importance to you. (1 being the most important,
and 4 being the least important.) - Whenever teaching multiple sessions on the same day, have the sessions be back to back.","Between Monday/Wednesdays and
Tuesday/Thursdays, do you have a strong preference?",Are there other important information about your preferences on teaching schedule that you would like to share?
Leventhal School of Accounting (ACCT),Full-time RTPC faculty,"Important (quality of schedule significantly influence my happiness, but will not leave over it)",4,2,1,3,No strong preference one way or the other.,
Leventhal School of Accounting (ACCT),Tenured faculty,"Important (quality of schedule significantly influence my happiness, but will not leave over it)",4,3,1,2,Strongly prefer M/W over T/H.,
Management and Organization (MOR),Un-tenured tenure-track faculty,Extremely important (may leave Marshall if chronically assigned an undesirable schedule),4,2,3,1,No strong preference one way or the other.,
Data Sciences and Operations (DSO),Tenured faculty,Somewhat important (care about my schedule but not a lot),4,2,1,3,No strong preference one way or the other.,
Data Sciences and Operations (DSO),Un-tenured tenure-track faculty,Extremely important (may leave Marshall if chronically assigned an undesirable schedule),1,4,2,3,No strong preference one way or the other.,I have a strong preference to teach after 2pm.
Marketing (MKT),Tenured faculty,"Almost indifferent (not particular about time, as long as the overall load is the same)",4,1,2,3,Strongly prefer T/H over M/W.,"No, thanks"
Leventhal School of Accounting (ACCT),Tenured faculty,Extremely important (may leave Marshall if chronically assigned an undesirable schedule),1,3,2,4,No strong preference one way or the other.,
Finance and Business Economics (FBE),Tenured faculty,"Important (quality of schedule significantly influence my happiness, but will not leave over it)",2,1,3,4,No strong preference one way or the other.,The trick in answering this question is that my preferences depend on what is best for students. I prefer my classes to be offered with a schedule that is best for student learning. It is not about maximizing my personal convenience.
Management and Organization (MOR),Part-time RTPC faculty,Extremely important (may leave Marshall if chronically assigned an undesirable schedule),1,4,2,3,Strongly prefer M/W over T/H.,
